pca_dim,C,gamma,val_accuracy,time_s
250,8,scale,0.7203,246.7
250,10,scale,0.7203,246.4
250,15,scale,0.7203,246.3
250,20,scale,0.7203,246.4
250,5,scale,0.7201,245.0
225,5,scale,0.718,216.6
300,5,scale,0.718,301.7
225,8,scale,0.7178,219.1
225,10,scale,0.7176,218.9
225,15,scale,0.7176,218.8
225,20,scale,0.7176,219.1
300,8,scale,0.7175,302.1
300,10,scale,0.7175,302.4
300,15,scale,0.7175,303.1
300,20,scale,0.7175,302.5
200,5,scale,0.7169,183.1
150,5,scale,0.7164,137.8
200,8,scale,0.7158,184.2
175,5,scale,0.7157,173.9
200,10,scale,0.7156,184.1
200,15,scale,0.7156,185.5
200,20,scale,0.7156,184.0
150,15,scale,0.7147,139.8
150,20,scale,0.7147,140.9
175,8,scale,0.7145,175.8
150,8,scale,0.7144,139.4
150,10,scale,0.7144,141.1
175,10,scale,0.7142,176.1
175,15,scale,0.7142,163.5
175,20,scale,0.7142,163.6
